Province/State,Country/Region,Lat,Long
,"Guatemala",15.7835,-90.2308
,"Nepal",28.1667,84.25
,"Madagascar",-18.7669,46.8691
"Beijing","China",40.1824,116.4142
,"United Arab Emirates",24.0,54.0
"Heilongjiang","China",47.861999999999995,127.7615
,"Netherlands",52.1326,5.2913
"Hunan","China",27.6104,111.7088
,"Namibia",-22.9576,18.4904
,"Latvia",56.8796,24.6032
,"Senegal",14.4974,-14.4524
,"Syria",34.8021,38.9968
"Hubei","China",30.9756,112.2707
,"Liberia",6.4281,-9.4295
,"Guinea-Bissau",11.8037,-15.1804
"Hong Kong","China",22.3,114.2
,"Croatia",45.1,15.2
,"Singapore",1.2833,103.8333
,"India",21.0,78.0
"Tianjin","China",39.3054,117.323
,"Mali",17.570692,-3.9961660000000006
"Greenland","Denmark",71.7069,-42.6043
"New Brunswick","Canada",46.5653,-66.4619
,"Nicaragua",12.8654,-85.2072
,"Bangladesh",23.685,90.3563
,"Togo",8.6195,0.8248
,"Mongolia",46.8625,103.8467
,"Spain",40.0,-4.0
,"Equatorial Guinea",1.5,10.0
,"Poland",51.9194,19.1451
,"Egypt",26.0,30.0
,"Kenya",-0.0236,37.9062
,"Zambia",-15.4167,28.2833
,"Gambia",13.4432,-15.3101
,"Paraguay",-23.4425,-58.4438
,"Antigua and Barbuda",17.0608,-61.7964
,"Iraq",33.0,44.0
,"Moldova",47.4116,28.3699
,"Tunisia",34.0,9.0
,"Cabo Verde",16.5388,-23.0418
,"Kyrgyzstan",41.2044,74.7661
,"Papua New Guinea",-6.315,143.9555
,"Liechtenstein",47.14,9.55
,"United Kingdom",55.3781,-3.4360000000000004
,"Taiwan*",23.7,121.0
,"Haiti",18.9712,-72.2852
"Guangdong","China",23.3417,113.4244
,"Dominica",15.415,-61.371
,"Bosnia and Herzegovina",43.9159,17.6791
,"Peru",-9.19,-75.0152
"Quebec","Canada",52.9399,-73.5491
"Guadeloupe","France",16.25,-61.5833
,"Saint Kitts and Nevis",17.357822,-62.782998
,"Kuwait",29.5,47.75
,"Serbia",44.0165,21.0059
,"Timor-Leste",-8.874217,125.727539
,"Niger",17.6078,8.0817
,"Lebanon",33.8547,35.8623
"Nova Scotia","Canada",44.681999999999995,-63.7443
"Newfoundland and Labrador","Canada",53.1355,-57.6604
"New South Wales","Australia",-33.8688,151.2093
,"Fiji",-17.7134,178.065
,"Mexico",23.6345,-102.5528
,"Hungary",47.1625,19.5033
,"Cyprus",35.1264,33.4299
,"Mozambique",-18.6657,35.5296
,"Albania",41.1533,20.1683
"Channel Islands","United Kingdom",49.3723,-2.3644
"Alberta","Canada",53.9333,-116.5765
,"Turkey",38.9637,35.2433
"Guangxi","China",23.8298,108.7881
,"Zimbabwe",-20.0,30.0
,"Sri Lanka",7.0,81.0
"South Australia","Australia",-34.9285,138.6007
,"Azerbaijan",40.1431,47.5769
,"Georgia",42.3154,43.3569
,"Angola",-11.2027,17.8739
"Macau","China",22.1667,113.55
,"Panama",8.538,-80.7821
"British Columbia","Canada",49.2827,-123.1207
"Zhejiang","China",29.1832,120.0934
,"Uruguay",-32.5228,-55.7658
"Ontario","Canada",51.2538,-85.3232
,"Bolivia",-16.2902,-63.5887
,"Finland",64.0,26.0
,"Seychelles",-4.6796,55.492
,"Grenada",12.1165,-61.678999999999995
,"Venezuela",6.4238,-66.5897
,"Burkina Faso",12.2383,-1.5616
,"Denmark",56.2639,9.5018
"Tasmania","Australia",-41.4545,145.9707
,"Sudan",12.8628,30.2176
,"Malaysia",2.5,112.5
,"Morocco",31.7917,-7.0926
,"Qatar",25.3548,51.1839
"Recovered","Canada",0.0,0.0
,"Slovakia",48.669,19.699
,"Belize",13.1939,-59.5432
,"West Bank and Gaza",31.9522,35.2332
,"Montenegro",42.5,19.3
,"Brunei",4.5353,114.7277
,"Ghana",7.9465,-1.0232
,"Timor-Leste",-8.8742,125.7275
,"Maldives",3.2028,73.2207
,"Bhutan",27.5142,90.4336
"New Caledonia","France",-20.9043,165.618
"Tibet","China",31.6927,88.0924
,"Somalia",5.1521,46.1996
"Sichuan","China",30.6171,102.7103
,"Congo (Kinshasa)",-4.0383,21.7587
,"Nigeria",9.082,8.6753
"French Guiana","France",3.9339,-53.1258
"Jilin","China",43.6661,126.1923
,"Costa Rica",9.7489,-83.7534
,"Eritrea",15.1794,39.7823
,"Holy See",41.9029,12.4534
,"Benin",9.3077,2.3158
,"Andorra",42.5063,1.5218
,"Monaco",43.7333,7.4167
"Curacao","Netherlands",12.1696,-68.99
,"Laos",19.856270000000002,102.495496
,"Mauritania",21.0079,10.9408
,"Eswatini",-26.5225,31.4659
"Prince Edward Island","Canada",46.5107,-63.4168
,"Thailand",15.0,101.0
"Chongqing","China",30.0572,107.874
,"Trinidad and Tobago",10.6918,-61.2225
,"Norway",60.472,8.4689
,"Romania",45.9432,24.9668
"Shanxi","China",37.5777,112.2922
,"Algeria",28.0339,1.6596
,"Israel",31.0,35.0
,"Suriname",3.9193,-56.0278
,"Uganda",1.0,32.0
"Cayman Islands","United Kingdom",19.3133,-81.2546
,"Argentina",-38.4161,-63.6167
,"Belgium",50.8333,4.0
,"South Africa",-30.5595,22.9375
,"Pakistan",30.3753,69.3451
,"Uzbekistan",41.3775,64.5853
"Xinjiang","China",41.1129,85.2401
,"Honduras",15.2,-86.2419
,"Ukraine",48.3794,31.1656
,"Estonia",58.5953,25.0136
,"Lithuania",55.1694,23.8813
,"Czechia",49.8175,15.472999999999999
,"New Zealand",-40.9006,174.886
"Mayotte","France",-12.8275,45.1662
,"Central African Republic",6.6111,20.9394
,"Philippines",13.0,122.0
,"Colombia",4.5709,-74.2973
,"US",37.0902,-95.7129
"Guizhou","China",26.8154,106.8748
,"Cameroon",3.8480000000000003,11.5021
,"Barbados",13.1939,-59.5432
"Hebei","China",39.549,116.1306
"Ningxia","China",37.2692,106.1655
,"Japan",36.0,138.0
"St Martin","France",18.0708,-63.0501
"Manitoba","Canada",53.7609,-98.8139
,"Indonesia",-0.7893,113.9213
,"Oman",21.0,57.0
"Isle of Man","United Kingdom",54.2361,-4.5481
"Bermuda","United Kingdom",32.3078,-64.7505
,"Chile",-35.6751,-71.543
,"Afghanistan",33.0,65.0
"Northern Territory","Australia",-12.4634,130.8456
,"France",46.2276,2.2137
,"Djibouti",11.8251,42.5903
,"Jamaica",18.1096,-77.2975
"Montserrat","United Kingdom",16.7425,-62.1874
,"Guinea",9.9456,-9.6966
,"Brazil",-14.235,-51.9253
"Shaanxi","China",35.1917,108.8701
,"Malta",35.9375,14.3754
"Northwest Territories","Canada",64.8255,-124.8457
,"Diamond Princess",0.0,0.0
,"Switzerland",46.8182,8.2275
,"Italy",43.0,12.0
,"Congo (Brazzaville)",-4.0383,21.7587
,"Cuba",22.0,-80.0
"Jiangsu","China",32.9711,119.455
,"Saint Lucia",13.9094,-60.9789
,"Rwanda",-1.9403,29.8739
,"El Salvador",13.7942,-88.8965
"Martinique","France",14.6415,-61.0242
,"Tanzania",-6.369,34.8888
,"Dominican Republic",18.7357,-70.1627
,"Germany",51.0,9.0
,"Bahrain",26.0275,50.55
"Grand Princess","Canada",37.6489,-122.6655
,"Cote d'Ivoire",7.54,-5.5471
"Reunion","France",-21.1351,55.2471
,"Ethiopia",9.145,40.4897
"Saint Barthelemy","France",17.9,-62.8333
"Faroe Islands","Denmark",61.8926,-6.9118
,"Portugal",39.3999,-8.2245
"Australian Capital Territory","Australia",-35.4735,149.0124
"Victoria","Australia",-37.8136,144.9631
,"San Marino",43.9424,12.4578
,"Syria",34.802075,38.996815000000005
,"Guyana",5.0,-58.75
"Gansu","China",37.8099,101.0583
"French Polynesia","France",-17.6797,149.4068
"Sint Maarten","Netherlands",18.0425,-63.0548
"Western Australia","Australia",-31.9505,115.8605
,"Saint Vincent and the Grenadines",12.9843,-61.2872
"Saskatchewan","Canada",52.9399,-106.4509
"Yunnan","China",24.974,101.48700000000001
,"Gabon",-0.8037,11.6094
,"Iran",32.0,53.0
,"Libya",26.3351,17.228331
,"Austria",47.5162,14.5501
"Henan","China",33.882,113.61399999999999
,"Iceland",64.9631,-19.0208
"Anhui","China",31.8257,117.2264
"Shanghai","China",31.201999999999998,121.4491
,"Ecuador",-1.8312,-78.1834
,"Armenia",40.0691,45.0382
,"Bahamas",25.0343,-77.3963
,"Belarus",53.7098,27.9534
,"Russia",60.0,90.0
,"Korea, South",36.0,128.0
,"Luxembourg",49.8153,6.1296
"Liaoning","China",41.2956,122.6085
,"Kazakhstan",48.0196,66.9237
"Yukon","Canada",64.2823,-135.0
,"Greece",39.0742,21.8243
,"Sweden",63.0,16.0
"Jiangxi","China",27.614,115.7221
,"Jordan",31.24,36.51
,"North Macedonia",41.6086,21.7453
,"Vietnam",16.0,108.0
,"Canada",56.1304,-106.3468
"Hainan","China",19.1959,109.7453
"Qinghai","China",35.7452,95.9956
"Diamond Princess","Canada",0.0,0.0
,"Mozambique",-18.665695,35.529562
"Inner Mongolia","China",44.0935,113.9448
,"Mauritius",-20.2,57.5
,"Saudi Arabia",24.0,45.0
"Queensland","Australia",-28.0167,153.4
"Shandong","China",36.3427,118.1498
"Fujian","China",26.0789,117.9874
,"Slovenia",46.1512,14.9955
"Aruba","Netherlands",12.5186,-70.0358
,"Cambodia",11.55,104.9167
"Gibraltar","United Kingdom",36.1408,-5.3536
,"Chad",15.4542,18.7322
,"Bulgaria",42.7339,25.4858
,"Ireland",53.1424,-7.6921
,"Kosovo",42.602636,20.902977
