"date","county","state","fips","cases","deaths","population","Sq.Ki.","Sq.Mi.","density","infection_per_10000"
"2020-04-22","Orange","North Carolina","37135",195,7,148476,"1035.5","399.8",371.3756878439219,13.133435706780894
"2020-04-22","Lafayette","Florida","12067",1,0,8422,"1405.9","542.8",15.515843773028742,1.1873664212776063
"2020-04-22","Story","Iowa","19169",20,0,97117,"1483.8","572.9",169.51824053063362,2.0593716856986934
"2020-04-22","Patrick","Virginia","51141",1,0,17608,"1251.4","483.2",36.44039735099338,0.5679236710586097
"2020-04-22","Park","Colorado","08093",6,0,18845,"5700.1","2200.8",8.56279534714649,3.183868400106129
"2020-04-22","Lawrence","Kentucky","21127",1,0,15317,"1084.8","418.9",36.5648126044402,0.6528693608408958
"2020-04-22","Pulaski","Virginia","51155",8,0,34027,"830.3","320.6",106.1353711790393,2.351074147000911
"2020-04-22","Wilcox","Alabama","01131",50,1,10373,"2301.9","888.8",11.67079207920792,48.20206304829847
"2020-04-22","Watauga","North Carolina","37189",8,0,56177,"809.5","312.5",179.7664,1.4240703490752442
"2020-04-22","Appomattox","Virginia","51011",7,0,15911,"864.3","333.7",47.68055139346719,4.399472063352397
"2020-04-22","Benton","Minnesota","27009",4,0,40889,"1057.5","408.3",100.14450159196669,0.9782582112548607
"2020-04-22","Monroe","Wisconsin","55081",13,0,46253,"2333.4","900.9",51.34088134088134,2.810628499772988
"2020-04-22","Uintah","Utah","49047",6,0,35734,"11596.2","4477.3",7.981149353404954,1.6790731516203057
"2020-04-22","Nicholas","West Virginia","54067",4,0,24496,"1680.1","648.7",37.761677200554956,1.6329196603527107
"2020-04-22","Big Horn","Montana","30003",3,0,13319,"12936.7","4994.9",2.6665198502472522,2.252421352954426
"2020-04-22","Woodson","Kansas","20207",5,0,3138,"1296.7","500.7",6.267225883762732,15.933715742511154
"2020-04-22","Clay","Mississippi","28025",27,2,19316,"1058.1","408.6",47.273617229564366,13.97804928556637
"2020-04-22","Kay","Oklahoma","40071",46,6,43538,"2379.7","918.8",47.38572050500653,10.565483026321834
"2020-04-22","Randolph","Illinois","17157",63,1,31782,"1498.2","578.4",54.94813278008299,19.822541060977912
"2020-04-22","Baca","Colorado","08009",10,0,3581,"6619.7","2555.9",1.4010720294221213,27.925160569673274
"2020-04-22","Dallas","Alabama","01047",30,2,37196,"2540.3","980.8",37.92414355628059,8.065383374556404
"2020-04-22","Fayette","Iowa","19065",7,0,19650,"1893.2","731",26.880984952120382,3.5623409669211195
"2020-04-22","Butte","California","06007",16,0,219186,"4246.6","1639.6",133.6826055135399,0.729973629702627
"2020-04-22","Jasper","Mississippi","28061",24,1,16383,"1751","676",24.235207100591715,14.649331624244644
"2020-04-22","Autauga","Alabama","01001",32,2,55869,"1543.7","596",93.73993288590604,5.727684404589307
"2020-04-22","West Baton Rouge","Louisiana","22121",90,12,26465,"495.3","191.2",138.4152719665272,34.00717929340639
"2020-04-22","Ingham","Michigan","26065",350,7,292406,"1448.4","559.2",522.9005722460657,11.969658625336006
"2020-04-22","Cass","Texas","48067",13,2,30026,"2428","937.5",32.02773333333333,4.329581029774196
"2020-04-22","Comal","Texas","48091",47,6,156209,"1454.3","561.5",278.19946571682993,3.0087895063664707
"2020-04-22","Crowley","Colorado","08025",2,1,6061,"2043.6","789",7.681875792141952,3.2997855139415937
"2020-04-22","Christian","Kentucky","21047",86,3,70461,"1868.3","721.4",97.67258109232048,12.205333446871318
"2020-04-22","Roberts","South Dakota","46109",4,0,10394,"2852.5","1101.3",9.437936983564878,3.8483740619588223
"2020-04-22","Marion","Kansas","20115",5,0,11884,"2442.8","943.2",12.59966072943172,4.207337596768765
"2020-04-22","Scotland","North Carolina","37165",15,0,34823,"826.6","319.2",109.09461152882206,4.307497918042673
"2020-04-22","Holmes","Mississippi","28051",78,5,17010,"1958.2","756.1",22.49702420314773,45.85537918871252
"2020-04-22","Cedar","Missouri","29039",5,0,14349,"1232.8","476",30.144957983193276,3.484563384207959
"2020-04-22","Bethel Census Area","Alaska","02050",1,0,18386,"106416.4","41087.4",0.44748511709185784,0.5438920918089851
"2020-04-22","Rockcastle","Kentucky","21203",11,0,16695,"822.4","317.5",52.58267716535433,6.588799041629231
"2020-04-22","Lawrence","Alabama","01079",12,0,32924,"1796","693.4",47.48197288722238,3.6447576236180295
"2020-04-22","Jackson","Alabama","01071",42,2,51626,"2794.1","1078.8",47.8550241008528,8.135435633208074
"2020-04-22","Pitkin","Colorado","08097",57,2,17767,"2512.8","970.2",18.31271902700474,32.08194968199471
"2020-04-22","Richmond city","Virginia","51760",250,10,230436,"155.7","60.1",3834.2096505823624,10.848999288305647
"2020-04-22","Wayne","Illinois","17191",1,0,16215,"1849.1","713.9",22.713265163188122,0.6167129201356768
"2020-04-22","St. Joseph","Indiana","18141",454,10,271826,"1184.5","457.3",594.4150448283402,16.70186074915571
"2020-04-22","Sutter","California","06101",26,2,96971,"1561","602.7",160.8943089430894,2.6812139711872622
"2020-04-22","Elmore","Idaho","16039",26,1,27511,"7971.4","3077.8",8.938527519656898,9.45076514848606
"2020-04-22","Hardin","Kentucky","21093",32,0,110958,"1626.6","628",176.68471337579618,2.883974116332306
"2020-04-22","Saratoga","New York","36091",264,2,229863,"2102.8","811.9",283.1173789875601,11.485101995536471
"2020-04-22","Jackson","Oregon","41029",48,0,220944,"7214.1","2785.4",79.32217993824943,2.172496198131653
