"Province/State","Country/Region","Lat","Long","cases","deaths"
"","Honduras","15.2","-86.2419","52","1"
"Henan","China","33.882","113.61399999999999","1275","22"
"","Montenegro","42.5","19.3","69","1"
"Liaoning","China","41.2956","122.6085","128","2"
"","Romania","45.9432","24.9668","1029","23"
"","Indonesia","-0.7893","113.9213","893","78"
"","Monaco","43.7333","7.4167","33","0"
"Shaanxi","China","35.1917","108.8701","253","3"
"","Saint Lucia","13.9094","-60.9789","3","0"
"","Hungary","47.1625","19.5033","261","10"
"Ontario","Canada","51.2538","-85.3232","858","13"
"","Malaysia","2.5","112.5","2031","23"
"","Afghanistan","33.0","65.0","94","4"
"","Seychelles","-4.6796","55.492","7","0"
"","France","46.2276","2.2137","29155","1696"
"","Brazil","-14.235","-51.9253","2985","77"
"","Israel","31.0","35.0","2693","8"
"Faroe Islands","Denmark","61.8926","-6.9118","140","0"
"","Antigua and Barbuda","17.0608","-61.7964","7","0"
"","Iceland","64.9631","-19.0208","802","2"
"","Cyprus","35.1264","33.4299","146","3"
"","Georgia","42.3154","43.3569","79","0"
"","Madagascar","-18.7669","46.8691","23","0"
"Zhejiang","China","29.1832","120.0934","1243","1"
"","Cameroon","3.8480000000000003","11.5021","75","1"
"","Congo (Kinshasa)","-4.0383","21.7587","51","3"
"Australian Capital Territory","Australia","-35.4735","149.0124","53","0"
"","Saint Vincent and the Grenadines","12.9843","-61.2872","1","0"
"","Brunei","4.5353","114.7277","114","0"
"Mayotte","France","-12.8275","45.1662","36","0"
"","Philippines","13.0","122.0","707","45"
"","Singapore","1.2833","103.8333","683","2"
"","Uganda","1.0","32.0","14","0"
"Saskatchewan","Canada","52.9399","-106.4509","95","0"
"","Rwanda","-1.9403","29.8739","50","0"
"","Belarus","53.7098","27.9534","86","0"
"","Oman","21.0","57.0","109","0"
"Western Australia","Australia","-31.9505","115.8605","231","2"
"","Uzbekistan","41.3775","64.5853","75","0"
"","Eswatini","-26.5225","31.4659","6","0"
"","Bulgaria","42.7339","25.4858","264","3"
"","Taiwan*","23.7","121.0","252","2"
"Yukon","Canada","64.2823","-135.0","3","0"
"","Guatemala","15.7835","-90.2308","25","1"
"Prince Edward Island","Canada","46.5107","-63.4168","5","0"
"Anhui","China","31.8257","117.2264","990","6"
"","Eritrea","15.1794","39.7823","6","0"
"Cayman Islands","United Kingdom","19.3133","-81.2546","8","1"
"","Estonia","58.5953","25.0136","538","1"
"Heilongjiang","China","47.861999999999995","127.7615","484","13"
"","Venezuela","6.4238","-66.5897","107","0"
"","Kazakhstan","48.0196","66.9237","111","1"
"","Bahamas","25.0343","-77.3963","9","0"
"Saint Barthelemy","France","17.9","-62.8333","3","0"
"","Djibouti","11.8251","42.5903","11","0"
"","Cambodia","11.55","104.9167","96","0"
"Sint Maarten","Netherlands","18.0425","-63.0548","3","0"
"","Japan","36.0","138.0","1387","47"
"","Bangladesh","23.685","90.3563","44","5"
"","Lebanon","33.8547","35.8623","368","6"
"","Turkey","38.9637","35.2433","3629","75"
"","Sri Lanka","7.0","81.0","106","0"
"Quebec","Canada","52.9399","-73.5491","1632","8"
"Macau","China","22.1667","113.55","31","0"
"","Togo","8.6195","0.8248","23","0"
"Yunnan","China","24.974","101.48700000000001","178","2"
"","Belize","13.1939","-59.5432","2","0"
"","Germany","51.0","9.0","43938","267"
"","Italy","43.0","12.0","80589","8215"
"","Greece","39.0742","21.8243","892","26"
"","Azerbaijan","40.1431","47.5769","122","3"
"","Mozambique","-18.665695","35.529562","7","0"
"","Guyana","5.0","-58.75","5","1"
"","Saudi Arabia","24.0","45.0","1012","3"
"","Trinidad and Tobago","10.6918","-61.2225","65","1"
"Shandong","China","36.3427","118.1498","771","7"
"","Egypt","26.0","30.0","495","24"
"","Ukraine","48.3794","31.1656","196","5"
"","Switzerland","46.8182","8.2275","11811","191"
"","El Salvador","13.7942","-88.8965","13","0"
"","Chile","-35.6751","-71.543","1306","4"
"","Korea, South","36.0","128.0","9241","131"
"Hebei","China","39.549","116.1306","319","6"
"Hainan","China","19.1959","109.7453","168","6"
"","Namibia","-22.9576","18.4904","8","0"
"Fujian","China","26.0789","117.9874","328","1"
"Channel Islands","United Kingdom","49.3723","-2.3644","66","1"
"","Costa Rica","9.7489","-83.7534","231","2"
"Shanghai","China","31.201999999999998","121.4491","451","5"
"Manitoba","Canada","53.7609","-98.8139","36","0"
"Isle of Man","United Kingdom","54.2361","-4.5481","25","0"
"South Australia","Australia","-34.9285","138.6007","235","0"
"Diamond Princess","Canada","0.0","0.0","0","1"
"","Mongolia","46.8625","103.8467","11","0"
"","Diamond Princess","0.0","0.0","712","10"
"Reunion","France","-21.1351","55.2471","135","0"
"","Paraguay","-23.4425","-58.4438","41","3"
"","Mexico","23.6345","-102.5528","475","6"
"Recovered","Canada","0.0","0.0","0","0"
"","Saint Kitts and Nevis","17.357822","-62.782998","2","0"
"","Benin","9.3077","2.3158","6","0"
"French Guiana","France","3.9339","-53.1258","28","0"
"","Sweden","63.0","16.0","2840","77"
"British Columbia","Canada","49.2827","-123.1207","725","14"
"","Mali","17.570692","-3.9961660000000006","4","0"
"","Zambia","-15.4167","28.2833","16","0"
"","Bahrain","26.0275","50.55","458","4"
"Aruba","Netherlands","12.5186","-70.0358","28","0"
"","Austria","47.5162","14.5501","6909","49"
"","Gambia","13.4432","-15.3101","3","1"
"","West Bank and Gaza","31.9522","35.2332","84","1"
"","Holy See","41.9029","12.4534","4","0"
"","Czechia","49.8175","15.472999999999999","1925","9"
"Gansu","China","37.8099","101.0583","136","2"
"","Ireland","53.1424","-7.6921","1819","19"
"Gibraltar","United Kingdom","36.1408","-5.3536","35","0"
"","Panama","8.538","-80.7821","558","8"
"","Bolivia","-16.2902","-63.5887","43","0"
"","Guinea","9.9456","-9.6966","4","0"
"","New Zealand","-40.9006","174.886","283","0"
"","Luxembourg","49.8153","6.1296","1453","9"
"Qinghai","China","35.7452","95.9956","18","0"
"","Mauritania","21.0079","10.9408","3","0"
"","Dominica","15.415","-61.371","11","0"
"","Congo (Brazzaville)","-4.0383","21.7587","4","0"
"","Gabon","-0.8037","11.6094","7","1"
"Guangdong","China","23.3417","113.4244","1448","8"
"","Cuba","22.0","-80.0","67","2"
"","Libya","26.3351","17.228331","1","0"
"","Laos","19.856270000000002","102.495496","6","0"
"","Kenya","-0.0236","37.9062","31","1"
"","Denmark","56.2639","9.5018","1877","41"
"Ningxia","China","37.2692","106.1655","75","0"
"","Sudan","12.8628","30.2176","3","1"
"","San Marino","43.9424","12.4578","208","21"
"","Liechtenstein","47.14","9.55","56","0"
"","Haiti","18.9712","-72.2852","8","0"
"","Fiji","-17.7134","178.065","5","0"
"","Equatorial Guinea","1.5","10.0","12","0"
"","Papua New Guinea","-6.315","143.9555","1","0"
"","Colombia","4.5709","-74.2973","491","6"
"","Central African Republic","6.6111","20.9394","3","0"
"","Zimbabwe","-20.0","30.0","3","1"
"Greenland","Denmark","71.7069","-42.6043","6","0"
"New South Wales","Australia","-33.8688","151.2093","1219","7"
"","Chad","15.4542","18.7322","3","0"
"","Mauritius","-20.2","57.5","81","2"
"","Kosovo","42.602636","20.902977","71","1"
"","North Macedonia","41.6086","21.7453","201","3"
"Chongqing","China","30.0572","107.874","578","6"
"","Algeria","28.0339","1.6596","367","25"
"Tibet","China","31.6927","88.0924","1","0"
"","Uruguay","-32.5228","-55.7658","217","0"
"","Serbia","44.0165","21.0059","384","1"
"","Kuwait","29.5","47.75","208","0"
"New Caledonia","France","-20.9043","165.618","14","0"
"","Nigeria","9.082","8.6753","65","1"
"","Jamaica","18.1096","-77.2975","26","1"
"Newfoundland and Labrador","Canada","53.1355","-57.6604","82","0"
"Tasmania","Australia","-41.4545","145.9707","47","0"
"","Spain","40.0","-4.0","57786","4365"
"","India","21.0","78.0","727","20"
