State,Miles,Direction,City,Lat,Lon
Alabama,12.1,southwest,Clanton,32.7794,-86.8287
Alaska,77.9,northwest,Denali,64.0685,-152.2782
Arizona,49.7,east-southeast,Prescott,34.2744,-111.6602
Arkansas,14.2,northwest,Little Rock,34.8938,-92.4426
California,36,northeast,Madera,37.1841,-119.4696
Colorado,29.2,northwest,Pikes Peak,38.9972,-105.5478
Connecticut,1.1,east,East Berlin,41.6219,-72.7273
Delaware,11.7,south,Dover,38.9896,-75.5050
District of Columbia,0,north,Washington,38.9101,-77.0147
Florida,5.8,northwest,Brooksville,28.6305,-82.4497
Georgia,17.7,southeast,Macon,32.6415,-83.4426
Hawaii,27.7,south,Wailea-Makena,20.2927,-156.3737
Idaho,21.4,west-southwest,Challis,44.3509,-114.6130
Illinois,28.8,northeast,Springfield,40.0417,-89.1965
Indiana,10.8,northwest,Indianapolis,39.8942,-86.2816
Iowa,7,northeast,Ames,42.0751,-93.4960
Kansas,22.6,northeast,Great Bend,38.4937,-98.3804
Kentucky,3.4,southwest,Lebanon,37.5347,-85.3021
Louisiana,5.8,southeast,Marksville,31.0689,-91.9968
Maine,12.6,northwest,Dover-Foxcroft,45.3695,-69.2428
Maryland,12.6,northwest,Davidsonville,39.0550,-76.7909
Massachusetts,0,north,Worcester,42.2596,-71.8083
Michigan,6.6,west,Cadillac,44.3467,-85.4102
Minnesota,10,southwest,Brainerd,46.2807,-94.3053
Mississippi,7.7,west-northwest,Carthage,32.7364,-89.6678
Missouri,21,southwest,Jefferson City,38.3566,-92.4580
Montana,10.1,west,Lewistown,47.0527,-109.6333
Nebraska,12.3,northwest,Broken Bow,41.5378,-99.7951
Nevada,26,southeast,Austin,39.3289,-116.6312
New Hampshire,2.6,east,Ashland,43.6805,-71.5811
New Jersey,4.3,southeast,Trenton,40.1907,-74.6728
New Mexico,13.8,south-southwest,Willard,34.4071,-106.1126
New York,11.5,south-southeast,Oneida,42.9538,-75.5268
North Carolina,12.7,northwest,Sanford,35.5557,-79.3877
North Dakota,2.7,southwest,McClusky,47.4501,-100.4659
Ohio,24.9,north-northeast,Columbus,40.2862,-82.7937
Oklahoma,4.4,south,Edmond,35.5889,-97.4943
Oregon,29.1,southeast,Prineville,43.9336,-120.5583
Pennsylvania,2.7,southwest,State College,40.8781,-77.7996
Puerto Rico,4,north,Villalba,18.2,-66.5
Rhode Island,2.4,west,West Warwick,41.6762,-71.5562
South Carolina,9.7,southeast,Columbia,33.9169,-80.8964
South Dakota,7.9,northeast,Pierre,44.4443,-100.2263
Tennessee,2.5,northeast,Murfreesboro,35.8580,-86.3505
Texas,23.6,north,Brady,31.4757,-99.3312
Utah,3.1,northwest,Manti,39.3055,-111.6703
Vermont,3.7,southeast,Roxbury,44.0687,-72.6658
Virginia,16.6,west,Buckingham,37.5215,-78.8537
Washington,7,west-southwest,Wenatchee,47.3826,-120.4472
West Virginia,4.9,east-southeast,Sutton,38.6409,-80.6227
Wisconsin,9.3,east-southeast,Marshfield,44.6243,-89.9941
Wyoming,60.6,east-northeast,Lander,42.9957,-107.5512
