Sq.Ki.,Sq.Mi.,State,County
1543.7,596,Alabama,Autauga
4135,1596.5,Alabama,Baldwin
2292.1,885,Alabama,Barbour
1611.9,622.4,Alabama,Bibb
1672.3,645.7,Alabama,Blount
1618.9,625.1,Alabama,Bullock
2012.3,776.9,Alabama,Butler
1576,608.5,Alabama,Calhoun
1547.3,597.4,Alabama,Chambers
1432.7,553.2,Alabama,Cherokee
1797.6,694.1,Alabama,Chilton
2366.2,913.6,Alabama,Choctaw
3207.7,1238.5,Alabama,Clarke
1567.3,605.1,Alabama,Clay
1450.9,560.2,Alabama,Cleburne
1759.1,679.2,Alabama,Coffee
1539.9,594.6,Alabama,Colbert
2203.8,850.9,Alabama,Conecuh
1690,652.5,Alabama,Coosa
2679.9,1034.7,Alabama,Covington
1578.9,609.6,Alabama,Crenshaw
1912.7,738.5,Alabama,Cullman
1453.3,561.1,Alabama,Dale
2540.3,980.8,Alabama,Dallas
2015,778,Alabama,DeKalb
1609.9,621.6,Alabama,Elmore
2454,947.5,Alabama,Escambia
1385.2,534.8,Alabama,Etowah
1626,627.8,Alabama,Fayette
1646.4,635.7,Alabama,Franklin
1492.8,576.4,Alabama,Geneva
1673,646,Alabama,Greene
1667.4,643.8,Alabama,Hale
1455.5,562,Alabama,Henry
1503.3,580.4,Alabama,Houston
2794.1,1078.8,Alabama,Jackson
2881.8,1112.7,Alabama,Jefferson
1566.7,604.9,Alabama,Lamar
1734.1,669.5,Alabama,Lauderdale
1796,693.4,Alabama,Lawrence
1576.8,608.8,Alabama,Lee
1471.4,568.1,Alabama,Limestone
1859.6,718,Alabama,Lowndes
1581.4,610.6,Alabama,Macon
2084.8,805,Alabama,Madison
2530.7,977.1,Alabama,Marengo
1920.4,741.5,Alabama,Marion
1468.8,567.1,Alabama,Marshall
3194.4,1233.4,Alabama,Mobile
2657.3,1026,Alabama,Monroe
2045.8,789.9,Alabama,Montgomery
1508,582.2,Alabama,Morgan
1863.6,719.5,Alabama,Perry
2283,881.5,Alabama,Pickens
1738.1,671.1,Alabama,Pike
1505,581.1,Alabama,Randolph
1660.5,641.1,Alabama,Russell
1642,634,Alabama,St. Clair
2058.8,794.9,Alabama,Shelby
2343.9,905,Alabama,Sumter
1915.6,739.6,Alabama,Talladega
1859.7,718,Alabama,Tallapoosa
3432.4,1325.3,Alabama,Tuscaloosa
2057.6,794.5,Alabama,Walker
2799.1,1080.7,Alabama,Washington
2301.9,888.8,Alabama,Wilcox
1591.5,614.5,Alabama,Winston
18090.5,6984.8,Alaska,Aleutians East Borough
11401.5,4402.1,Alaska,Aleutians West Census Area
4396.9,1697.6,Alaska,Anchorage Borough
106416.4,41087.4,Alaska,Bethel Census Area
1344.8,519.2,Alaska,Bristol Bay Borough
47829.3,18466.9,Alaska,Dillingham Census Area
19068.7,7362.4,Alaska,Fairbanks North Star Borough
6104.6,2357,Alaska,Haines Borough
6717.3,2593.6,Alaska,Juneau Borough
41644.4,16078.9,Alaska,Kenai Peninsula Borough
3158.9,1219.6,Alaska,Ketchikan Gateway Borough
16738.1,6462.6,Alaska,Kodiak Island Borough
61207.7,23632.3,Alaska,Lake and Peninsula Borough
63956.5,24693.6,Alaska,Matanuska-Susitna Borough
59602.5,23012.6,Alaska,Nome Census Area
227558.7,87860.5,Alaska,North Slope Borough
92883.8,35862.5,Alaska,Northwest Arctic Borough
18970.4,7324.5,Alaska,Prince of Wales-Outer Ketchikan Census Area
7463,2881.5,Alaska,Sitka Borough
33360.8,12880.6,Alaska,Skagway-Yakutat-Angoon Census Area
67324.7,25994.1,Alaska,Southeast Fairbanks Census Area
95688.5,36945.4,Alaska,Valdez-Cordova Census Area
44351.4,17124.1,Alaska,Wade Hampton Census Area
15044.1,5808.5,Alaska,Wrangell-Petersburg Census Area
406944.1,157121.3,Alaska,Yukon-Koyukuk Census Area
29022.7,11205.7,Arizona,Apache
15980.3,6170,Arizona,Cochise
48223.5,18619.1,Arizona,Coconino
12349.3,4768.1,Arizona,Gila
11990.8,4629.6,Arizona,Graham
4784.1,1847.1,Arizona,Greenlee
11653.9,4499.6,Arizona,La Paz
23838.5,9204,Arizona,Maricopa
34479.2,13312.4,Arizona,Mohave
25780.3,9953.8,Arizona,Navajo
23794.3,9187,Arizona,Pima
13908.3,5370,Arizona,Pinal
3205.8,1237.7,Arizona,Santa Cruz
21040,8123.5,Arizona,Yavapai
14282.4,5514.4,Arizona,Yuma
134875.1,52075.3,Arizona,Arkansas
2560.3,988.5,Arizona,Arkansas
2386.3,921.4,Arizona,Ashley
1435.9,554.4,Arizona,Baxter
2184.2,843.3,Arizona,Benton
1531.3,591.2,Arizona,Boone
1685.3,650.7,Arizona,Bradley
1627.4,628.3,Arizona,Calhoun
1641.5,633.8,Arizona,Carroll
1668.1,644.1,Arizona,Chicot
2241.7,865.5,Arizona,Clark
1655.9,639.3,Arizona,Clay
1432.5,553.1,Arizona,Cleburne
1548.2,597.8,Arizona,Cleveland
1984.4,766.2,Arizona,Columbia
1440.6,556.2,Arizona,Conway
1841,710.8,Arizona,Craighead
1542.3,595.5,Arizona,Crawford
1581.2,610.5,Arizona,Crittenden
1595.2,615.9,Arizona,Cross
1728.7,667.5,Arizona,Dallas
1981.4,765,Arizona,Desha
2145.1,828.2,Arizona,Drew
1676.7,647.4,Arizona,Faulkner
1578.9,609.6,Arizona,Franklin
1601.2,618.2,Arizona,Fulton
1756.2,678.1,Arizona,Garland
1636.4,631.8,Arizona,Grant
1495.9,577.6,Arizona,Greene
1887.7,728.8,Arizona,Hempstead
1592.8,615,Arizona,Hot Spring
1521.5,587.5,Arizona,Howard
1978.4,763.8,Arizona,Independence
1504.1,580.7,Arizona,Izard
1641,633.6,Arizona,Jackson
2291.6,884.8,Arizona,Jefferson
1715.1,662.2,Arizona,Johnson
1363.7,526.5,Arizona,Lafayette
1519.3,586.6,Arizona,Lawrence
1558.4,601.7,Arizona,Lee
1453.6,561.2,Arizona,Lincoln
1377.3,531.8,Arizona,Little River
1838.7,709.9,Arizona,Logan
1982.6,765.5,Arizona,Lonoke
2167.7,837,Arizona,Madison
1548.1,597.7,Arizona,Marion
1616.3,624.1,Arizona,Miller
2326.6,898.3,Arizona,Mississippi
1571.4,606.7,Arizona,Monroe
2022.7,781,Arizona,Montgomery
1605.8,620,Arizona,Nevada
2131.6,823,Arizona,Newton
1897.2,732.5,Arizona,Ouachita
1427,551,Arizona,Perry
1794.2,692.7,Arizona,Phillips
1561.9,603.1,Arizona,Pike
1962.7,757.8,Arizona,Poinsett
2226,859.5,Arizona,Polk
2103,812,Arizona,Pope
1673.1,646,Arizona,Prairie
1996.8,771,Arizona,Pulaski
1688.3,651.9,Arizona,Randolph
1641.8,633.9,Arizona,St. Francis
1877.1,724.8,Arizona,Saline
2315.3,893.9,Arizona,Scott
1728,667.2,Arizona,Searcy
1389.2,536.4,Arizona,Sebastian
1460.7,564,Arizona,Sevier
1565.4,604.4,Arizona,Sharp
1571.2,606.6,Arizona,Stone
2691,1039,Arizona,Union
1842.9,711.6,Arizona,Van Buren
2461.1,950.2,Arizona,Washington
2678.4,1034.1,Arizona,White
1519.3,586.6,Arizona,Woodruff
2403.2,927.9,Arizona,Yell
1910.1,737.5,California,Alameda
1913.1,738.7,California,Alpine
1534.7,592.6,California,Amador
4246.6,1639.6,California,Butte
2642.3,1020.2,California,Calaveras
2980.5,1150.8,California,Colusa
1865.5,720.3,California,Contra Costa
2610.4,1007.9,California,Del Norte
4432.8,1711.5,California,El Dorado
15444.7,5963.2,California,Fresno
3405.5,1314.9,California,Glenn
9253.5,3572.8,California,Humboldt
10813.4,4175.1,California,Imperial
26397.5,10192.1,California,Inyo
21086.8,8141.6,California,Kern
3598.8,1389.5,California,Kings
3259.4,1258.5,California,Lake
11803.9,4557.5,California,Lassen
10515.3,4060,California,Los Angeles
5538.5,2138.4,California,Madera
1346.2,519.8,California,Marin
3758.6,1451.2,California,Mariposa
9089,3509.3,California,Mendocino
4995.8,1928.9,California,Merced
10215.9,3944.4,California,Modoc
7885.2,3044.5,California,Mono
8603.8,3321.9,California,Monterey
1952.5,753.9,California,Napa
2480.3,957.7,California,Nevada
2045.3,789.7,California,Orange
3637.4,1404.4,California,Placer
6614.8,2554,California,Plumas
18669.1,7208.2,California,Riverside
2501.1,965.7,California,Sacramento
3597.9,1389.1,California,San Benito
51961.2,20062.2,California,San Bernardino
10889.6,4204.5,California,San Diego
121,46.7,California,San Francisco
3624.1,1399.3,California,San Joaquin
8558.7,3304.5,California,San Luis Obispo
1163.2,449.1,California,San Mateo
7092.6,2738.5,California,Santa Barbara
3344.3,1291.2,California,Santa Clara
1154.3,445.7,California,Santa Cruz
9804.8,3785.7,California,Shasta
2469.4,953.4,California,Sierra
16284,6287.3,California,Siskiyou
2145,828.2,California,Solano
4082.4,1576.2,California,Sonoma
3870.9,1494.6,California,Stanislaus
1561,602.7,California,Sutter
7643.2,2951,California,Tehama
8233.3,3178.9,California,Trinity
12495,4824.3,California,Tulare
5790.3,2235.6,California,Tuolumne
4781,1845.9,California,Ventura
2622.2,1012.4,California,Yolo
1632.9,630.5,California,Yuba
3087.3,1192,Colorado,Adams
1872,722.8,Colorado,Alamosa
2080.2,803.2,Colorado,Arapahoe
3494.9,1349.4,Colorado,Archuleta
6619.7,2555.9,Colorado,Baca
3921.3,1514,Colorado,Bent
1923,742.5,Colorado,Boulder
2625,1013.5,Colorado,Chaffee
4614,1781.5,Colorado,Cheyenne
1024.2,395.5,Colorado,Clear Creek
3334.2,1287.3,Colorado,Conejos
3177.9,1227,Colorado,Costilla
2043.6,789,Colorado,Crowley
1913.8,738.9,Colorado,Custer
2958.3,1142.2,Colorado,Delta
397,153.3,Colorado,Denver
2763.6,1067,Colorado,Dolores
2176,840.2,Colorado,Douglas
4371.8,1688,Colorado,Eagle
4793.8,1850.9,Colorado,Elbert
5508.1,2126.7,Colorado,El Paso
3970.6,1533,Colorado,Fremont
7634,2947.5,Colorado,Garfield
388.2,149.9,Colorado,Gilpin
4790.9,1849.8,Colorado,Grand
8389.5,3239.2,Colorado,Gunnison
2895,1117.8,Colorado,Hinsdale
4120.3,1590.9,Colorado,Huerfano
4178.5,1613.3,Colorado,Jackson
2000.1,772.2,Colorado,Jefferson
